Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
127856,2021,Cluster 2,Region 8,No,No
127858,2021,Cluster 3,Region 5,No,No
127863,2021,Cluster 1,Region 5,No,No
127865,2021,Cluster 1,Region 7,No,No
127932,2021,Cluster 1,Region 8,No,No
127956,2021,Cluster 1,Region 10,No,No
128005,2021,Cluster 2,Region 8,No,No
128017,2021,Cluster 1,Region 5,No,No
128046,2021,Cluster 2,Region 2,No,No
128050,2021,Cluster 1,Region 3,No,No
128060,2021,Singleton,Region 3,No,No
128205,2021,Cluster 1,Region 10,No,No
128305,2021,Cluster 1,Region 6,No,No
128433,2021,Cluster 2,Region 5,No,No
128438,2021,Cluster 1,Region 10,No,No
128439,2021,Cluster 1,Region 4,No,No
128554,2021,Cluster 6,Region 10,No,No
128616,2021,Cluster 2,Region 5,No,No
128829,2021,Cluster 1,Region 1,No,No
128895,2021,Cluster 2,Region 8,No,No
128897,2021,Cluster 1,Region 1,No,No
128898,2021,Cluster 1,Region 10,No,No
128908,2021,Cluster 2,Region 6,No,No
129019,2021,Cluster 2,Region 2,No,No
129022,2021,Cluster 1,Region 6,No,No
129074,2021,Cluster 2,Region 4,No,No
129165,2021,Cluster 2,Region 4,No,No
129267,2021,Cluster 2,Region 8,No,No
129269,2021,Cluster 2,Region 9,No,No
129347,2021,Cluster 1,Region 5,No,No
129486,2021,Cluster 1,Region 7,No,No
129499,2021,Cluster 1,Region 6,No,No
129544,2021,Cluster 1,Region 7,No,No
129557,2021,Cluster 2,Region 9,No,No
129567,2021,Cluster 1,Region 6,No,No
129572,2021,Cluster 1,Region 2,No,No
129657,2022,Cluster 2,Region 5,No,No
129659,2022,Cluster 1,Region 3,No,No
129690,2022,Cluster 2,Region 5,No,No
129693,2022,Cluster 2,Region 10,No,No
129738,2022,Cluster 1,Region 8,No,No
129817,2022,Cluster 2,Region 7,No,No
